case,repetition,condition,elapsed_ms,request_bytes,response_bytes
ko-md-100,11,direct,5.727082999999993,0,0
ko-md-100,12,direct,6.296082999999953,0,0
ko-md-100,12,mcp,5.666832999999997,206,1990
ko-md-100,13,mcp,6.620499999999993,206,1990
ko-md-100,13,direct,6.8559999999999945,0,0
ko-md-100,14,direct,5.7827499999999645,0,0
ko-md-100,14,mcp,7.215249999999969,206,1990
ko-md-100,15,mcp,6.090417000000002,206,1990
ko-md-100,15,direct,5.791000000000054,0,0
ko-md-100,16,direct,6.404124999999908,0,0
ko-md-100,16,mcp,5.84862499999997,206,1990
ko-md-100,17,mcp,6.230833000000075,206,1990
ko-md-100,17,direct,6.078875000000039,0,0
ko-md-100,18,direct,5.258082999999942,0,0
ko-md-100,18,mcp,6.5722090000000435,206,1990
ko-md-100,19,mcp,5.876500000000078,206,1990
ko-md-100,19,direct,5.24091599999997,0,0
ko-xlsx-100,0,direct,7.598167000000103,0,0
ko-xlsx-100,0,mcp,11.24304200000006,207,1991
ko-xlsx-100,1,mcp,10.431667000000061,207,1991
ko-xlsx-100,1,direct,8.040957999999819,0,0
ko-xlsx-100,2,direct,7.38675000000012,0,0
ko-xlsx-100,2,mcp,10.190083999999842,208,1992
ko-xlsx-100,3,mcp,9.301375000000007,208,1992
ko-xlsx-100,3,direct,9.10791600000016,0,0
ko-xlsx-100,4,direct,7.530459000000064,0,0
ko-xlsx-100,4,mcp,9.851167000000032,208,1992
ko-xlsx-100,5,mcp,8.692334000000074,208,1990
ko-xlsx-100,5,direct,7.98762499999998,0,0
ko-xlsx-100,6,direct,7.135999999999967,0,0
ko-xlsx-100,6,mcp,13.639417000000094,208,1992
ko-xlsx-100,7,mcp,10.256624999999985,208,1992
ko-xlsx-100,7,direct,12.393540999999914,0,0
ko-xlsx-100,8,direct,13.219875000000002,0,0
ko-xlsx-100,8,mcp,25.11633299999994,208,1993
ko-xlsx-100,9,mcp,9.335209000000077,208,1992
ko-xlsx-100,9,direct,7.989958999999999,0,0
ko-xlsx-100,10,direct,7.380625000000009,0,0
ko-xlsx-100,10,mcp,10.854417000000012,208,1991
ko-xlsx-100,11,mcp,9.465874999999869,208,1992
ko-xlsx-100,11,direct,9.052458999999999,0,0
ko-xlsx-100,12,direct,7.20879200000013,0,0
ko-xlsx-100,12,mcp,9.426792000000205,208,1992
ko-xlsx-100,13,mcp,7.949333000000024,208,1992
ko-xlsx-100,13,direct,7.510416999999961,0,0
ko-xlsx-100,14,direct,7.3904999999999745,0,0
ko-xlsx-100,14,mcp,10.474833999999873,208,1992
ko-xlsx-100,15,mcp,7.522125000000187,208,1992
ko-xlsx-100,15,direct,8.579167000000098,0,0
ko-xlsx-100,16,direct,7.885667000000012,0,0
ko-xlsx-100,16,mcp,8.0646670000001,208,1992
ko-xlsx-100,17,mcp,8.867165999999997,208,1992
ko-xlsx-100,17,direct,7.980583999999908,0,0
ko-xlsx-100,18,direct,7.561832999999979,0,0
ko-xlsx-100,18,mcp,8.507874999999785,208,1991
ko-xlsx-100,19,mcp,8.75974999999994,208,1991
ko-xlsx-100,19,direct,7.412958000000117,0,0
ko-md-1000,0,direct,49.25004199999967,0,0
ko-md-1000,0,mcp,58.11779200000001,206,2000
ko-md-1000,1,mcp,52.27587500000027,206,1999
ko-md-1000,1,direct,53.654957999999624,0,0
ko-md-1000,2,direct,60.4953330000003,0,0
ko-md-1000,2,mcp,54.13004200000023,207,2001
ko-md-1000,3,mcp,52.94687500000009,207,2000
ko-md-1000,3,direct,53.41358300000002,0,0
